date,year,regime,policyId,economicScenarioId,source_alert_state,applied_alert_state,hedge_ratio,ccw_daily_return_pct,underlying_daily_return_pct,gross_hedged_daily_return_pct,net_hedged_daily_return_pct,unhedged_equity,gross_hedged_equity,net_hedged_equity,hedge_notional,delta_hedge_notional,required_margin,funding_daily,basis_daily,collateral_effect_daily,fee_cost,slippage_cost,funding_effect,basis_effect,collateral_effect,net_implementation_cost,net_implementation_cost_pct_of_equity
2020-01-03,2020,Bull market,stress30_crisis40,BASE,normal,,,,,,,,,,,,,,,,,,,,,,
2020-01-04,2020,Bull market,stress30_crisis40,BASE,normal,normal,0,0.714534,0.765042,0.714534,0.714534,1.007145,1.007145,1.007145,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-05,2020,Bull market,stress30_crisis40,BASE,normal,normal,0,1.60797,1.709986,1.60797,1.60797,1.02334,1.02334,1.02334,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-06,2020,Bull market,stress30_crisis40,BASE,normal,normal,0,1.36133,1.412239,1.36133,1.36133,1.037271,1.037271,1.037271,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-07,2020,Bull market,stress30_crisis40,BASE,normal,normal,0,3.287906,4.124668,3.287906,3.287906,1.071375,1.071375,1.071375,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-08,2020,Bull market,stress30_crisis40,BASE,normal,normal,0,2.702931,5.865495,2.702931,2.702931,1.100334,1.100334,1.100334,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-09,2020,Bull market,stress30_crisis40,BASE,normal,normal,0,-1.461171,-5.125429,-1.461171,-1.461171,1.084256,1.084256,1.084256,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-10,2020,Bull market,stress30_crisis40,BASE,normal,normal,0,-1.029423,1.052565,-1.029423,-1.029423,1.073095,1.073095,1.073095,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-11,2020,Bull market,stress30_crisis40,BASE,normal,normal,0,0.432073,1.211018,0.432073,0.432073,1.077731,1.077731,1.077731,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-12,2020,Bull market,stress30_crisis40,BASE,normal,normal,0,0.813183,0.917545,0.813183,0.813183,1.086495,1.086495,1.086495,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-13,2020,Bull market,stress30_crisis40,BASE,normal,normal,0,0.011126,-0.657329,0.011126,0.011126,1.086616,1.086616,1.086616,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-14,2020,Bull market,stress30_crisis40,BASE,normal,normal,0,1.71198,7.457795,1.71198,1.71198,1.105219,1.105219,1.105219,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-15,2020,Bull market,stress30_crisis40,BASE,normal,normal,0,0.49531,1.766703,0.49531,0.49531,1.110693,1.110693,1.110693,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-16,2020,Bull market,stress30_crisis40,BASE,normal,normal,0,-0.408659,-1.866094,-0.408659,-0.408659,1.106154,1.106154,1.106154,0,0,0,0,0,0,0,0,0,0,0,0,0
